GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minidevops,mx.uam.tsis.ejemplobackend,SpringFoxConfig,0,35,0,0,0,13,0,2,0,2
minidevops,mx.uam.tsis.ejemplobackend,EjemplobackendApplication,5,3,0,0,2,1,1,1,1,1
minidevops,mx.uam.tsis.ejemplobackend.config,SecurityConfig,0,107,0,0,0,19,0,7,0,7
minidevops,mx.uam.tsis.ejemplobackend.servicios,AlumnoController,27,38,2,2,6,9,4,4,2,4
minidevops,mx.uam.tsis.ejemplobackend.servicios,GrupoController,47,7,4,0,11,2,5,2,3,2
minidevops,mx.uam.tsis.ejemplobackend.negocio,GrupoService,10,47,1,3,2,12,3,4,2,3
minidevops,mx.uam.tsis.ejemplobackend.negocio,AlumnoService,15,57,1,3,4,14,3,5,2,4
minidevops,mx.uam.tsis.ejemplobackend.negocio.modelo,Alumno,18,54,2,4,6,16,4,10,2,9
minidevops,mx.uam.tsis.ejemplobackend.negocio.modelo,Grupo,60,27,6,0,14,10,9,6,6,6
minidevops,mx.uam.tsis.ejemplobackend.negocio.modelo,Grupo.Builder,33,0,0,0,9,0,5,0,5,0
minidevops,mx.uam.tsis.ejemplobackend.negocio.modelo,Alumno.Builder,28,0,0,0,8,0,5,0,5,0
minidevops,mx.uam.tsis.ejemplobackend.presentacion,MainController,7,7,0,0,3,2,2,2,2,2
